key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr,,
1012,用于清除科研资料的磁盘，可以将1个道具的改造进度重置为1级，并返还已消耗的研发点数。,用於清除科研資料的磁片，可以將1個道具的改造進度重置為1級，並返還已消耗的研發點數。,A disk for clearing research data. Resets the ascension progress of 1 item to Level 1 and refunds the consumed Research Points.,科学研究資料の削除に使用するディスク。アイテム1個の改造進度をレベル1にリセットでき、消費済みの研究ポイントが返還される。,"과학 연구 자료 파기에 사용하는 디스크. 아이템 1개의 개조 진도를 레벨 1로 리셋할 수 있으며, 소비한 연구 개발 포인트를 돌려받을 수 있다.",연구 데이터를 삭제하기 위한 디스크입니다. 아이템 1개의 승천 진행도를 1레벨로 재설정하고 소모된 연구 포인트를 환급합니다.,과학연구자료 삭제에 사용하는 디스크. 아이템 1개의 개조진도를 레벨 1로 리셋할 수 있어 소비된 연구포인트가 반환된다.
1021,记忆点,次世代改裝套件,Memory Point,記憶ポイント,메모리 포인트,메모리 포인트,기억 포인트
1022,用于加速时间流动的道具，在第四幕中发动视界跃迁时，每消耗1跃迁点可以跳过后续时间轴上1个已解锁的战役。,當下最新研製出的高科技納米改裝套件，使用後武器會突破自身性能極限，可以將武器改造至6階。,"Item for accelerating the flow of time. When initiating Visual Leap in Act 4, each Leap point consumed allows skipping one unlocked battle on the subsequent timeline.",時間の流れを速めるためのアイテム。第四幕で視野遷移を起動すると、1遷移ポイント使うごとに、その後の時間軸上の解放済み戦役を1つスキップできる。,시간의 흐름을 가속화하는 데 사용되는 아이템. 제4막에서 시야 점프를 시작할 때 소모된 점프 포인트 1포인트로 다음 시간축에서 잠금 해제된 전투 1개를 건너뛸 수 있다.,시간의 흐름을 가속화하는 아이템. 액트 4에서 Visual Leap을 시작할 때 소비된 각 Leap 포인트를 사용하면 다음 타임라인에서 잠금 해제된 전투를 한 번 건너뛸 수 있습니다.,"시간의 흐름을 빠르게 하기 위한 아이템.제4막으로 시야 천이를 기동하면, 1 천이 포인트 사용할 때마다, 그 후의 시간축상의 해방이 끝난 전역을 1개 건너뛸 수 있다."
1031,还原套件,還原套件,Restoration Kit,復元キット,복원 키트,복원 키트,복원 키트
1032,用于将武器还原为出厂配置的套件，可以将任意1把武器重置为1阶，并返还已消耗的升阶材料和零件。,用於將武器還原為出廠配置的套件，可以將任意1把武器重置為1階，並返還已消耗的升階材料和零件。,A kit used for Weapon Reset. It can reset any weapon to Rank 1 and refund the consumed materials and parts by Weapon Upgrade.,武器を初期設定に復元するためのキット。好きな武器1つをレベル1にリセットできる。消耗したレベルの素材とパーツは返還される。,"무기를 리셋하는 복원 키트. 임의의 무기 1개를 레벨 1로 리셋할 수 있으며, 소비한 무기 개조 재료 및 부품을 돌려받을 수 있다.",무기 재설정에 사용되는 키트입니다. 모든 무기를 랭크 1로 재설정하고 무기 업그레이드를 통해 소모된 재료와 부품을 환불받을 수 있습니다.,무기를 초기 설정으로 복원하기 위한 키트. 좋아하는 무기 1개를 레벨 1로 리셋할 수 있다.
400001,初级改造图纸,初級改造圖紙,Basic Upgrade Blueprint,初級改造図面,초급 개조 설계도,기본 업그레이드 청사진,초급 개조 도면
400002,适用于各种武器强化的基础改造图纸，可以将武器改造至2阶。,各种枪械的设计图纸，用于对武器进行强化，可以把武器升级到第2级。,A basic blueprint for upgrading all kinds of firearms. Can upgrade the weapon to Rank 2.,各種銃器の設計図面、武器をLv.2に強化できる。,각종 총기의 설계도. 무기의 강화에 쓰인다. 무기를 레벨 2로 개조할 수 있다.,모든 종류의 총기를 업그레이드하기 위한 기본 청사진입니다. 무기를 랭크 2로 업그레이드할 수 있습니다.,"각종 총기의 설계 도면, 무기를 Lv.2로 강화할 수 있다."
400011,中级改造图纸,中級改造圖紙,Intermediate Upgrade Blueprint,中級改造図面,중급 개조 설계도,중간 업그레이드 청사진,중급 개조 도면
400012,用于提升武器综合性能的进阶改造图纸，可以将武器改造至3阶。,能够提升枪械综合性能的组件，可用于对武器进行进一步的强化改造，可以把武器升级到第3级。,A component for making further upgrade to a firearm that can improve its overall performance. Can upgrade the weapon to Rank 3.,各種銃器の全面的な性能を高められる設計図面、武器をLv.3に強化できる。,총기의 종합 성능을 업그레이드할 수 있는 설계도. 무기의 심층 강화 개조에 쓰인다. 무기를 레벨 3으로 개조할 수 있다.,전체적인 성능을 향상시킬 수 있는 총기의 추가 업그레이드를 위한 부품입니다. 무기를 랭크 3까지 업그레이드할 수 있습니다.,"각종 총기의 전면적인 성능을 높일 수 있는 설계 도면, 무기를 Lv.3으로 강화할 수 있다."
400031,高级改造图纸,高級改造圖紙,Advanced Upgrade Blueprint,上級改造図面,고급 개조 설계도,고급 업그레이드 청사진,고급 개조 도면
400032,针对不同武器优势进行特殊改造的图纸，可以将武器改造至4阶。,針對不同武器優勢進行特殊改造的圖紙，可以將武器改造至4階。,Designs for special upgrades for different weapon advantages. Can upgrade the weapon to Rank 4.,それぞれの武器の長所に合わせて特殊な改造を施せる図面。武器をグレード4まで改造できる。,다른 무기 우위에 따라 특수 개조한 설계도. 무기를 레벨 4로 개조할 수 있다.,다양한 무기 이점을 위한 특별 업그레이드를 위한 설계. 무기를 랭크 4까지 업그레이드할 수 있습니다.,각각의 무기의 장점에 맞추어 특수한 개조를 할 수 있는 도면.무기를 그레이드 4까지 개조할 수 있다.
400041,精英改装套件,精英改装套件,Elite Upgrade Kit,精鋭改造セット,엘리트 개조 키트,엘리트 업그레이드 키트,정예 개조 세트
400042,为了发挥武器最强性能而开发的精英改装套件，可以将武器改造至5阶。,為了發揮武器最強性能而開發的精英改裝套件，可以將武器改造至5階。,Elite Upgrade Kit developed to bring out the best in weapon performance. Can upgrade the weapon to Rank 5.,武器の性能を最大限引き出せるように開発された精鋭改造セット。武器をグレード5まで改造できる。,무기의 성능을 최대한으로 발휘하기 위해 개발한 정예 개조 키트. 무기를 레벨 5로 개조할 수 있다.,최고의 무기 성능을 끌어내기 위해 개발된 엘리트 업그레이드 키트. 무기를 랭크 5까지 업그레이드할 수 있습니다.,무기의 성능을 최대한 끌어낼 수 있도록 개발된 정예 개조 세트. 무기를 그레이드 5까지 개조할 수 있다.
400051,次世代改装套件,次世代改裝套件,Next-Gen Upgrade Kit,次世代改造キット,차세대 개조 키트,차세대 업그레이드 키트,차세대 개조 키트
400052,当下最新研制出的高科技纳米改装套件，使用后武器会突破自身性能极限，可以将武器改造至6阶。,當下最新研製出的高科技納米改裝套件，使用後武器會突破自身性能極限，可以將武器改造至6階。,The most recently developed high-tech nano-upgrade kit. The weapon will surpass its performance limits and can be upgraded to Rank 6 after use.,性能の限界を超える改造により、武器をレベル6に上げられる最新のハイテクナノ改造キット。,새롭게 개발된 차세대 나노 개조 키트. 사용 시 무기 자체 성능 한계를 돌파한다. 무기를 레벨 6으로 개조할 수 있다.,가장 최근에 개발된 첨단 나노 업그레이드 키트입니다. 무기는 성능 한계를 초과하며 사용 후 랭크 6으로 업그레이드할 수 있습니다.,성능의 한계를 넘는 개조로 무기를 레벨 6으로 올릴 수 있는 최신 하이테크 나노 개조 키트.
